user_id,image_no,desktop_rating,gender,qualification,mobile_rating,age
u72,1,2,1,1,5,22
u73,1,10,1,1,7,23
u74,1,5,1,1,6,16
u75,1,7,1,1,10,23
u76,1,5,0,1,10,23
u77,1,6,1,1,5,19
u78,1,6,1,1,9,17
u79,1,6,1,1,4,16
u80,1,9,1,1,6,18
u81,1,6,1,1,6,18
u82,1,5,1,1,6,17
u83,1,10,0,1,10,20
u84,1,10,0,1,10,20
u85,1,7,0,1,1,18
u86,1,3,0,1,5,21
u87,1,2,0,1,6,19
u88,1,8,0,1,5,23
u89,1,2,0,1,2,19
u90,1,3,0,1,8,20
u91,1,4,1,1,1,23
u92,1,10,0,1,7,20
u93,1,8,0,1,2,18
u94,1,10,0,1,7,21
u95,1,6,0,1,7,21
u96,1,10,0,1,6,22
u97,1,3,1,1,3,21
u98,1,5,1,1,6,23
u99,1,5,1,1,5,22
u100,1,6,1,1,7,23
u1,2,9,1,1,8,23
u2,2,5,0,2,4,58
u3,2,6,1,0,6,84
u4,2,7,1,0,8,47
u5,2,8,1,1,8,16
u6,2,10,1,1,6,16
u7,2,8,1,1,9,16
u8,2,6,1,1,4,15
u9,2,3,0,1,7,15
u10,2,6,0,1,6,16
u11,2,3,0,1,5,16
u12,2,3,0,1,4,16
u13,2,6,0,1,4,16
u14,2,3,0,1,10,16
u15,2,6,1,1,2,17
u16,2,8,1,1,2,15
u17,2,6,1,1,4,15
u18,2,3,1,1,6,15
u19,2,10,1,1,8,15
u20,2,6,1,1,9,16
u21,2,4,1,1,7,16
u22,2,2,0,1,10,15
u23,2,9,0,1,8,15
u24,2,9,0,1,9,16
u25,2,7,0,1,6,11
u26,2,8,0,1,7,16
u27,2,10,0,1,9,20
u28,2,10,1,1,9,18
u29,2,9,0,1,10,20
u30,2,8,0,1,9,20
u31,2,6,0,1,6,20
u32,2,3,0,1,5,18
u33,2,8,1,1,6,18
u34,2,4,1,1,5,15
u35,2,7,0,1,6,13
u36,2,3,0,1,3,8
u37,2,6,0,1,3,10
u38,2,7,0,1,6,10
u39,2,6,0,1,6,6
u40,2,10,1,2,5,60
u41,2,7,1,2,10,53
u42,2,2,1,0,3,55
u43,2,7,1,0,8,44
u44,2,8,1,2,7,47
u45,2,5,1,2,6,48
u46,2,8,0,2,5,48
u47,2,1,1,0,6,48
u48,2,7,0,2,7,38
u49,2,7,1,0,6,35
u50,2,1,1,1,7,32
u51,2,7,1,1,7,30
u52,2,5,1,0,4,26
u53,2,9,1,1,6,24
u54,2,3,0,1,8,24
u55,2,5,0,1,5,27
u56,2,10,1,1,9,27
u57,2,4,1,1,6,24
u58,2,7,1,1,4,22
u59,2,7,0,2,6,29
u60,2,9,0,1,8,23
u61,2,6,0,1,7,21
u62,2,6,0,1,5,22
u63,2,6,0,1,7,22
u64,2,7,0,1,6,21
u65,2,5,0,1,4,22
u66,2,5,0,1,9,24
u67,2,9,0,1,10,25
u68,2,7,0,1,4,21
u69,2,7,0,1,10,29
u70,2,9,0,1,10,22
u71,2,9,0,1,7,21
u72,2,5,1,1,6,22
u73,2,10,1,1,8,23
u74,2,7,1,1,7,16
u75,2,3,1,1,2,23
u76,2,1,0,1,1,23
u77,2,7,1,1,3,19
u78,2,2,1,1,4,17
u79,2,5,1,1,7,16
u80,2,2,1,1,5,18
u81,2,1,1,1,4,18
u82,2,8,1,1,9,17
u83,2,9,0,1,1,20
u84,2,3,0,1,7,20
u85,2,7,0,1,7,18
u86,2,5,0,1,7,21
u87,2,1,0,1,4,19
u88,2,9,0,1,2,23
u89,2,1,0,1,2,19
u90,2,4,0,1,3,20
u91,2,7,1,1,2,23
u92,2,8,0,1,9,20
u93,2,7,0,1,5,18
u94,2,2,0,1,8,21
u95,2,5,0,1,7,21
u96,2,4,0,1,3,22
u97,2,9,1,1,6,21
u98,2,7,1,1,2,23
u99,2,6,1,1,5,22
u100,2,8,1,1,8,23
u1,3,5,1,1,6,23
u2,3,5,0,2,6,58
u3,3,7,1,0,6,84
u4,3,6,1,0,7,47
u5,3,7,1,1,7,16
u6,3,10,1,1,7,16
u7,3,9,1,1,8,16
u8,3,5,1,1,6,15
u9,3,4,0,1,10,15
u10,3,4,0,1,6,16
u11,3,8,0,1,4,16
u12,3,7,0,1,2,16
u13,3,2,0,1,5,16
u14,3,6,0,1,2,16
u15,3,8,1,1,8,17
u16,3,4,1,1,3,15
u17,3,1,1,1,6,15
u18,3,5,1,1,5,15
u19,3,6,1,1,10,15
u20,3,8,1,1,10,16
u21,3,6,1,1,6,16
u22,3,3,1,1,9,15
u23,3,8,0,1,7,15
u24,3,10,0,1,8,16
u25,3,7,0,1,7,11
u26,3,9,0,1,7,16
u27,3,9,0,1,9,20
u28,3,9,1,1,10,18
u29,3,10,0,1,9,20
u30,3,8,0,1,8,20
u31,3,6,0,1,7,20
u32,3,7,0,1,5,18
u33,3,9,1,1,7,18
u34,3,5,1,1,4,15
u35,3,8,0,1,8,13
u36,3,4,0,1,5,8
u37,3,7,0,1,6,10
u38,3,6,0,1,7,10
u39,3,5,0,1,7,6
u40,3,10,1,2,8,60
u41,3,8,1,2,7,53
u42,3,1,1,0,3,55
u43,3,8,1,0,9,44
u44,3,7,1,2,6,47
u45,3,5,1,2,7,48
u46,3,7,0,2,6,48
u47,3,1,1,0,1,48
u48,3,8,0,2,9,38
u49,3,7,1,0,9,35
u50,3,8,1,1,8,32
u51,3,6,1,1,8,30
u52,3,5,1,0,5,26
u53,3,7,1,1,8,24
u54,3,9,0,1,8,24
u55,3,8,0,1,5,27
u56,3,7,1,1,7,27
u57,3,4,1,1,8,24
u58,3,8,1,1,5,22
u59,3,7,0,2,4,29
u60,3,8,0,1,7,23
u61,3,8,0,1,6,21
u62,3,8,0,1,7,22
u63,3,6,0,1,6,22
u64,3,8,0,1,7,21
u65,3,5,0,1,5,22
u66,3,7,0,1,9,24
u67,3,5,0,1,10,25
u68,3,2,0,1,2,21
u69,3,6,0,1,6,29
u70,3,10,0,1,9,22
u71,3,9,0,1,8,21
u72,3,5,1,1,4,22
u73,3,6,1,1,6,23
u74,3,6,1,1,2,16
u75,3,10,1,1,7,23
u76,3,6,0,1,2,23
u77,3,5,1,1,9,19
u78,3,8,1,1,5,17
u79,3,7,1,1,10,16
u80,3,5,1,1,4,18
u81,3,6,1,1,6,18
u82,3,3,1,1,2,17
u83,3,3,0,1,4,20
u84,3,7,0,1,3,20
u85,3,2,0,1,3,18
u86,3,3,0,1,10,21
u87,3,1,0,1,3,19
u88,3,10,0,1,3,23
u89,3,1,0,1,3,19
u90,3,7,0,1,4,20
u91,3,10,1,1,7,23
u92,3,10,0,1,8,20
u93,3,10,0,1,8,18
u94,3,1,0,1,5,21
u95,3,5,0,1,8,21
u96,3,7,0,1,2,22
u97,3,5,1,1,1,21
u98,3,7,1,1,4,23
u99,3,5,1,1,5,22
u100,3,8,1,1,8,23
u1,4,7,1,1,9,23
u2,4,6,0,2,4,58
u3,4,6,1,0,4,84
u4,4,7,1,0,6,47
u5,4,6,1,1,8,16
u6,4,8,1,1,8,16
u7,4,8,1,1,9,16
u8,4,6,1,1,3,15
u9,4,5,0,1,7,15
u10,4,1,0,1,5,16
u11,4,4,0,1,5,16
u12,4,2,0,1,4,16
u13,4,4,0,1,6,16
u14,4,9,0,1,8,16
u15,4,1,1,1,4,17
u16,4,7,1,1,2,15
u17,4,5,1,1,9,15
u18,4,10,1,1,4,15
u19,4,9,1,1,5,15
u20,4,10,1,1,1,16
u21,4,8,1,1,8,16
u22,4,4,0,1,8,15
u23,4,7,0,1,6,15
u24,4,9,0,1,7,16
u25,4,8,0,1,8,11
u26,4,7,0,1,8,16
u27,4,9,0,1,10,20
u28,4,10,1,1,9,18
u29,4,9,0,1,10,20
u30,4,8,0,1,7,20
u31,4,7,0,1,8,20
u32,4,7,0,1,3,18
u33,4,6,1,1,8,18
u34,4,4,1,1,3,15
u35,4,9,0,1,8,13
u36,4,5,0,1,4,8
u37,4,8,0,1,7,10
u38,4,7,0,1,8,10
u39,4,4,0,1,8,6
u40,4,8,1,2,9,60
u41,4,9,1,2,8,53
u42,4,4,1,0,3,55
u43,4,6,1,0,5,44
u44,4,7,1,2,7,47
u45,4,8,1,2,7,48
u46,4,10,0,2,9,48
u47,4,2,1,0,7,48
u48,4,6,0,2,7,38
u49,4,5,1,0,5,35
u50,4,6,1,1,3,32
u51,4,5,1,1,9,30
u52,4,5,1,0,4,26
u53,4,8,1,1,9,24
u54,4,10,0,1,7,24
u55,4,7,0,1,9,27
u56,4,9,1,1,5,27
u57,4,6,1,1,5,24
u58,4,7,1,1,6,22
u59,4,7,0,2,10,29
u60,4,6,0,1,6,23
u61,4,9,0,1,7,21
u62,4,9,0,1,8,22
u63,4,5,0,1,5,22
u64,4,7,0,1,8,21
u65,4,4,0,1,1,22
u66,4,7,0,1,8,24
u67,4,4,0,1,5,25
u68,4,1,0,1,3,21
u69,4,7,0,1,7,29
u70,4,7,0,1,10,22
u71,4,8,0,1,8,21
u72,4,6,1,1,6,22
u73,4,2,1,1,6,23
u74,4,3,1,1,6,16
u75,4,5,1,1,1,23
u76,4,1,0,1,3,23
u77,4,2,1,1,10,19
u78,4,6,1,1,1,17
u79,4,5,1,1,5,16
u80,4,3,1,1,6,18
u81,4,3,1,1,4,18
u82,4,1,1,1,5,17
u83,4,1,0,1,7,20
u84,4,2,0,1,1,20
u85,4,5,0,1,6,18
u86,4,6,0,1,6,21
u87,4,3,0,1,2,19
u88,4,10,0,1,5,23
u89,4,1,0,1,4,19
u90,4,5,0,1,5,20
u91,4,6,1,1,10,23
u92,4,7,0,1,10,20
u93,4,9,0,1,3,18
u94,4,3,0,1,7,21
u95,4,4,0,1,6,21
u96,4,10,0,1,2,22
u97,4,6,1,1,4,21
u98,4,8,1,1,6,23
u99,4,5,1,1,6,22
u100,4,7,1,1,7,23
u1,5,8,1,1,6,23
u2,5,5,0,2,5,58
u3,5,8,1,0,5,84
u4,5,9,1,0,9,47
u5,5,7,1,1,5,16
u6,5,7,1,1,9,16
u7,5,9,1,1,8,16
u8,5,7,1,1,5,15
u9,5,6,0,1,7,15
u10,5,4,0,1,5,16
u11,5,2,0,1,7,16
u12,5,5,0,1,6,16
u13,5,10,0,1,7,16
u14,5,7,0,1,6,16
u15,5,5,1,1,8,17
u16,5,9,1,1,4,15
u17,5,8,1,1,4,15
u18,5,10,1,1,5,15
u19,5,2,1,1,9,15
u20,5,1,1,1,2,16
u21,5,10,1,1,7,16
u22,5,5,0,1,7,15
u23,5,6,0,1,5,15
u24,5,8,0,1,6,16
u25,5,9,0,1,7,11
u26,5,8,0,1,9,16
u27,5,10,0,1,9,20
u28,5,10,1,1,9,18
u29,5,10,0,1,7,20
u30,5,7,0,1,8,20
u31,5,7,0,1,8,20
u32,5,6,0,1,6,18
u33,5,7,1,1,9,18
u34,5,4,1,1,3,15
u35,5,6,0,1,6,13
u36,5,6,0,1,7,8
u37,5,9,0,1,8,10
u38,5,7,0,1,9,10
u39,5,3,0,1,6,6
u40,5,4,1,2,7,60
u41,5,6,1,2,9,53
u42,5,7,1,0,3,55
u43,5,5,1,0,6,44
u44,5,7,1,2,6,47
u45,5,8,1,2,8,48
u46,5,6,0,2,10,48
u47,5,4,1,0,2,48
u48,5,6,0,2,8,38
u49,5,6,1,0,5,35
u50,5,7,1,1,4,32
u51,5,7,1,1,10,30
u52,5,7,1,0,6,26
u53,5,9,1,1,7,24
u54,5,6,0,1,4,24
u55,5,6,0,1,5,27
u56,5,9,1,1,8,27
u57,5,8,1,1,5,24
u58,5,8,1,1,8,22
u59,5,6,0,2,7,29
u60,5,5,0,1,5,23
u61,5,6,0,1,6,21
